"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"25","tt0109348","Thu Sep 24 23:26:42 2015","Thu Sep 24 23:26:42 2015","","Bullets Over Broadway","Feature Film","Woody Allen","","7.5","98","1994","comedy, crime","29485","1994-09-06","http://www.imdb.com/title/tt0109348/"
"26","tt0086637","Thu Sep 24 23:26:44 2015","Thu Sep 24 23:26:44 2015","","Zelig","Feature Film","Woody Allen","","7.8","79","1983","comedy","31834","1983-07-15","http://www.imdb.com/title/tt0086637/"
"27","tt0495596","Thu Sep 24 23:26:53 2015","Thu Sep 24 23:26:53 2015","","Gedo senki","Feature Film","Gorô Miyazaki","","6.5","115","2006","animation, adventure, fantasy","23999","2006-07-29","http://www.imdb.com/title/tt0495596/"
"28","tt2140203","Thu Sep 24 23:27:28 2015","Thu Sep 24 23:27:28 2015","","Ookami kodomo no Ame to Yuki","Feature Film","Mamoru Hosoda","","8.2","117","2012","animation, drama, family, fantasy","18895","2012-06-25","http://www.imdb.com/title/tt2140203/"
"29","tt0373469","Thu Sep 24 23:27:38 2015","Thu Sep 24 23:27:38 2015","","Kiss Kiss Bang Bang","Feature Film","Shane Black","","7.6","103","2005","comedy, crime, mystery","176906","2005-05-14","http://www.imdb.com/title/tt0373469/"
"30","tt0040746","Thu Sep 24 23:27:54 2015","Thu Sep 24 23:27:54 2015","","Rope","Feature Film","Alfred Hitchcock","","8.0","80","1948","crime, drama, film_noir, thriller","96118","1948-08-23","http://www.imdb.com/title/tt0040746/"
"31","tt2388715","Thu Sep 24 23:28:09 2015","Thu Sep 24 23:28:09 2015","","Oculus","Feature Film","Mike Flanagan","","6.5","104","2013","horror, mystery","86281","2013-09-08","http://www.imdb.com/title/tt2388715/"
"32","tt1441395","Thu Sep 24 23:28:18 2015","Thu Sep 24 23:28:18 2015","","Under the Skin","Feature Film","Jonathan Glazer","","6.3","108","2013","drama, horror, sci_fi, thriller","85788","2013-08-29","http://www.imdb.com/title/tt1441395/"
"33","tt1791528","Thu Sep 24 23:28:19 2015","Thu Sep 24 23:28:19 2015","","Inherent Vice","Feature Film","Paul Thomas Anderson","8","6.7","148","2014","comedy, crime, drama, mystery, romance","62462","2014-10-04","http://www.imdb.com/title/tt1791528/"
"34","tt2884018","Thu Sep 24 23:28:51 2015","Thu Sep 24 23:28:51 2015","","Macbeth","Feature Film","Justin Kurzel","","6.8","113","2015","drama, war","34794","2015-05-23","http://www.imdb.com/title/tt2884018/"
"35","tt0814314","Thu Sep 24 23:29:56 2015","Thu Sep 24 23:29:56 2015","","Seven Pounds","Feature Film","Gabriele Muccino","","7.7","123","2008","drama, romance","233573","2008-12-19","http://www.imdb.com/title/tt0814314/"
"36","tt1483013","Thu Sep 24 23:29:58 2015","Thu Sep 24 23:29:58 2015","","Oblivion","Feature Film","Joseph Kosinski","","7.0","124","2013","action, adventure, mystery, sci_fi","388898","2013-03-26","http://www.imdb.com/title/tt1483013/"
"37","tt0090605","Thu Sep 24 23:30:00 2015","Thu Sep 24 23:30:00 2015","","Aliens","Feature Film","James Cameron","","8.4","137","1986","adventure, sci_fi, thriller","490468","1986-07-18","http://www.imdb.com/title/tt0090605/"
"38","tt0319862","Thu Sep 24 23:30:02 2015","Thu Sep 24 23:30:02 2015","","The Miles Davis Story","Documentary","Mike Dibb","","7.4","125","2001","documentary","209","2001-04-14","http://www.imdb.com/title/tt0319862/"
"39","tt1182345","Thu Sep 24 23:35:07 2015","Thu Sep 24 23:35:07 2015","","Moon","Feature Film","Duncan Jones","","7.9","97","2009","drama, mystery, sci_fi","261728","2009-01-23","http://www.imdb.com/title/tt1182345/"
"40","tt0496806","Thu Sep 24 23:35:33 2015","Thu Sep 24 23:35:33 2015","","Ocean's Thirteen","Feature Film","Steven Soderbergh","","6.9","122","2007","crime, thriller","257764","2007-05-24","http://www.imdb.com/title/tt0496806/"
"41","tt0045152","Thu Sep 24 23:35:48 2015","Thu Sep 24 23:35:48 2015","","Singin' in the Rain","Feature Film","Stanley Donen, Gene Kelly","","8.3","103","1952","comedy, musical, romance","150701","1952-03-27","http://www.imdb.com/title/tt0045152/"
"42","tt0068555","Thu Sep 24 23:36:09 2015","Thu Sep 24 23:36:09 2015","","Everything You Always Wanted to Know About Sex * But Were Afraid to Ask","Feature Film","Woody Allen","","6.8","88","1972","comedy, romance","31179","1972-08-06","http://www.imdb.com/title/tt0068555/"
"43","tt0057345","Thu Sep 24 23:41:53 2015","Thu Sep 24 23:41:53 2015","","Le mépris","Feature Film","Jean-Luc Godard","","7.7","103","1963","drama","19936","1963-10-29","http://www.imdb.com/title/tt0057345/"
"44","tt0349903","Thu Oct  8 22:01:08 2015","Thu Oct  8 22:01:08 2015","","Ocean's Twelve","Feature Film","Steven Soderbergh","","6.4","125","2004","crime, thriller","285847","2004-12-08","http://www.imdb.com/title/tt0349903/"
"45","tt0097814","Thu Oct  8 22:01:11 2015","Thu Oct  8 22:01:11 2015","","Majo no takkyûbin","Feature Film","Hayao Miyazaki","","7.9","103","1989","animation, adventure, drama, family, fantasy","76539","1989-07-29","http://www.imdb.com/title/tt0097814/"
"46","tt0071562","Thu Oct  8 22:01:18 2015","Thu Oct  8 22:01:18 2015","","The Godfather: Part II","Feature Film","Francis Ford Coppola","","9.0","202","1974","crime, drama","794593","1974-12-12","http://www.imdb.com/title/tt0071562/"
"47","tt1049413","Thu Oct  8 22:01:30 2015","Thu Oct  8 22:01:30 2015","","Up","Feature Film","Pete Docter, Bob Peterson","","8.3","96","2009","animation, adventure, comedy, family","669374","2009-05-13","http://www.imdb.com/title/tt1049413/"
"48","tt0050083","Thu Oct  8 22:01:36 2015","Thu Oct  8 22:01:36 2015","","12 Angry Men","Feature Film","Sidney Lumet","","8.9","96","1957","crime, drama","450236","1957-04-10","http://www.imdb.com/title/tt0050083/"
"49","tt0072231","Thu Oct  8 22:08:51 2015","Thu Oct  8 22:08:51 2015","","Svoy sredi chuzhikh, chuzhoy sredi svoikh","Feature Film","Nikita Mikhalkov","","7.8","97","1974","action, adventure, drama, war, western","1868","1974-11-11","http://www.imdb.com/title/tt0072231/"
"50","tt1205489","Thu Oct  8 22:08:59 2015","Thu Oct  8 22:08:59 2015","","Gran Torino","Feature Film","Clint Eastwood","","8.2","116","2008","drama","563855","2008-12-09","http://www.imdb.com/title/tt1205489/"
"51","tt0066808","Thu Oct  8 22:09:02 2015","Thu Oct  8 22:09:02 2015","","Bananas","Feature Film","Woody Allen","","7.1","82","1971","comedy","27732","1971-04-28","http://www.imdb.com/title/tt0066808/"
"52","tt0144084","Thu Oct  8 22:13:09 2015","Thu Oct  8 22:13:09 2015","","American Psycho","Feature Film","Mary Harron","","7.6","102","2000","crime, drama","359145","2000-01-21","http://www.imdb.com/title/tt0144084/"
"53","tt0112573","Thu Oct  8 22:13:19 2015","Thu Oct  8 22:13:19 2015","","Braveheart","Feature Film","Mel Gibson","","8.4","178","1995","biography, drama, history, war","739657","1995-05-18","http://www.imdb.com/title/tt0112573/"
"54","tt0078788","Thu Oct  8 22:13:30 2015","Thu Oct  8 22:13:30 2015","","Apocalypse Now","Feature Film","Francis Coppola","","8.5","153","1979","drama, war","452392","1979-05-19","http://www.imdb.com/title/tt0078788/"
"55","tt0056663","Thu Oct  8 22:13:39 2015","Thu Oct  8 22:13:39 2015","","Vivre sa vie: Film en douze tableaux","Feature Film","Jean-Luc Godard","","8.1","80","1962","drama","17928","1962-08-28","http://www.imdb.com/title/tt0056663/"
"56","tt2718492","Thu Oct  8 22:13:52 2015","Thu Oct  8 22:13:52 2015","","Ida","Feature Film","Pawel Pawlikowski","","7.4","82","2013","drama","34939","2013-08-30","http://www.imdb.com/title/tt2718492/"
"57","tt0079193","Thu Oct  8 22:13:57 2015","Thu Oct  8 22:13:57 2015","","Garazh","Feature Film","Eldar Ryazanov","","8.3","101","1980","comedy, drama","2016","1980-03-10","http://www.imdb.com/title/tt0079193/"
"58","tt0118583","Thu Oct  8 22:13:59 2015","Thu Oct  8 22:13:59 2015","","Alien: Resurrection","Feature Film","Jean-Pierre Jeunet","","6.3","109","1997","action, horror, sci_fi","170904","1997-11-06","http://www.imdb.com/title/tt0118583/"
"59","tt0083465","Thu Oct  8 22:15:12 2015","Thu Oct  8 22:15:12 2015","","Pokrovskiye vorota","TV Movie","Mikhail Kozakov","","8.3","140","1983","comedy, drama, musical, romance","1699","1983-02-11","http://www.imdb.com/title/tt0083465/"
"60","tt0441773","Thu Oct  8 22:15:49 2015","Thu Oct  8 22:15:49 2015","","Kung Fu Panda","Feature Film","Mark Osborne, John Stevenson","","7.6","92","2008","animation, action, adventure, comedy, family","308480","2008-05-15","http://www.imdb.com/title/tt0441773/"
"61","tt0335266","Thu Oct  8 22:15:55 2015","Thu Oct  8 22:15:55 2015","","Lost in Translation","Feature Film","Sofia Coppola","","7.8","101","2003","drama","322379","2003-08-29","http://www.imdb.com/title/tt0335266/"
"62","tt1772341","Thu Oct  8 22:16:02 2015","Thu Oct  8 22:16:02 2015","","Wreck-It Ralph","Feature Film","Rich Moore","","7.8","101","2012","animation, adventure, comedy, family, sci_fi","273780","2012-11-01","http://www.imdb.com/title/tt1772341/"
"63","tt0081554","Thu Oct  8 22:16:07 2015","Thu Oct  8 22:16:07 2015","","Stardust Memories","Feature Film","Woody Allen","","7.5","89","1980","comedy, drama","16520","1980-09-26","http://www.imdb.com/title/tt0081554/"
"64","tt0077742","Thu Oct  8 22:16:12 2015","Thu Oct  8 22:16:12 2015","","Interiors","Feature Film","Woody Allen","","7.5","93","1978","drama","14078","1978-08-02","http://www.imdb.com/title/tt0077742/"
"65","tt1723811","Thu Oct  8 22:16:18 2015","Thu Oct  8 22:16:18 2015","","Shame","Feature Film","Steve McQueen","","7.3","101","2011","drama","146075","2011-09-04","http://www.imdb.com/title/tt1723811/"
"66","tt0169547","Thu Oct  8 22:16:21 2015","Thu Oct  8 22:16:21 2015","","American Beauty","Feature Film","Sam Mendes","","8.4","122","1999","drama, romance","825968","1999-09-08","http://www.imdb.com/title/tt0169547/"
"67","tt1178665","Thu Oct  8 22:16:23 2015","Thu Oct  8 22:16:23 2015","","A Walk in the Woods","Feature Film","Ken Kwapis","","6.3","104","2015","adventure, biography, comedy, drama","14634","2015-01-23","http://www.imdb.com/title/tt1178665/"
"68","tt1646971","Thu Oct  8 22:16:49 2015","Thu Oct  8 22:16:49 2015","","How to Train Your Dragon 2","Feature Film","Dean DeBlois","","7.9","102","2014","animation, action, adventure, comedy, family, fantasy","222288","2014-05-16","http://www.imdb.com/title/tt1646971/"
"69","tt1172570","Thu Oct  8 22:24:37 2015","Thu Oct  8 22:24:37 2015","","Bronson","Feature Film","Nicolas Winding Refn","","7.1","92","2008","action, biography, crime, drama","85391","2008-10","http://www.imdb.com/title/tt1172570/"
"70","tt0084329","Thu Oct  8 22:26:52 2015","Thu Oct  8 22:26:52 2015","","A Midsummer Night's Sex Comedy","Feature Film","Woody Allen","","6.7","88","1982","comedy","14867","1982-07-16","http://www.imdb.com/title/tt0084329/"
"71","tt0105236","Mon Oct 12 01:00:13 2015","Mon Oct 12 01:00:13 2015","","Reservoir Dogs","Feature Film","Quentin Tarantino","","8.4","99","1992","crime, drama, thriller","667832","1992-01-21","http://www.imdb.com/title/tt0105236/"
"72","tt0078748","Mon Oct 12 01:00:28 2015","Mon Oct 12 01:00:28 2015","","Alien","Feature Film","Ridley Scott","","8.5","117","1979","horror, sci_fi","566482","1979-05-25","http://www.imdb.com/title/tt0078748/"
"73","tt0099685","Mon Oct 12 01:00:51 2015","Mon Oct 12 01:00:51 2015","","Goodfellas","Feature Film","Martin Scorsese","","8.7","146","1990","biography, crime, drama","732156","1990-09-09","http://www.imdb.com/title/tt0099685/"
"74","tt3659388","Mon Oct 12 01:00:54 2015","Mon Oct 12 01:00:54 2015","","The Martian","Feature Film","Ridley Scott","","8.1","144","2015","adventure, drama, sci_fi","481597","2015-09-11","http://www.imdb.com/title/tt3659388/"
"75","tt0053291","Mon Oct 12 01:01:01 2015","Mon Oct 12 01:01:01 2015","","Some Like It Hot","Feature Film","Billy Wilder","","8.3","120","1959","comedy, music, romance","175902","1959-03-19","http://www.imdb.com/title/tt0053291/"
"76","tt0986233","Mon Oct 12 01:01:10 2015","Mon Oct 12 01:01:10 2015","","Hunger","Feature Film","Steve McQueen","","7.6","96","2008","biography, drama","51113","2008-05-15","http://www.imdb.com/title/tt0986233/"
"77","tt0119698","Mon Oct 12 01:01:13 2015","Mon Oct 12 01:01:13 2015","","Mononoke-hime","Feature Film","Hayao Miyazaki","","8.4","134","1997","animation, adventure, fantasy","222798","1997-07-12","http://www.imdb.com/title/tt0119698/"
"78","tt0217505","Mon Oct 12 01:01:33 2015","Mon Oct 12 01:01:33 2015","","Gangs of New York","Feature Film","Martin Scorsese","","7.5","167","2002","crime, drama","315239","2002-12-09","http://www.imdb.com/title/tt0217505/"
"79","tt0087003","Mon Oct 12 01:01:37 2015","Mon Oct 12 01:01:37 2015","","Broadway Danny Rose","Feature Film","Woody Allen","","7.5","84","1984","comedy","18695","1984-01-27","http://www.imdb.com/title/tt0087003/"
"80","tt0095441","Mon Oct 12 01:01:40 2015","Mon Oct 12 01:01:40 2015","","Kholodnoe leto pyatdesyat tretego","Feature Film","Aleksandr Proshkin","","8.1","101","1988","action, crime, drama","1235","1988-06","http://www.imdb.com/title/tt0095441/"
"81","tt3560686","Mon Oct 12 01:03:22 2015","Mon Oct 12 01:03:22 2015","","Durak","Feature Film","Yuriy Bykov","","8.0","116","2014","drama","3901","2014-08-09","http://www.imdb.com/title/tt3560686/"
"82","tt0092745","Mon Oct 12 01:03:56 2015","Mon Oct 12 01:03:56 2015","","Chelovek s bulvara Kaputsinov","Feature Film","Alla Surikova","","7.9","98","1987","comedy, musical, romance, western","1769","1987-06-23","http://www.imdb.com/title/tt0092745/"
"83","tt0070439","Mon Oct 12 01:04:43 2015","Mon Oct 12 01:04:43 2015","","Neveroyatnye priklyucheniya italyantsev v Rossii","Feature Film","Franco Prosperi, Eldar Ryazanov","","7.9","104","1974","comedy, adventure","3433","1974-01-31","http://www.imdb.com/title/tt0070439/"
"84","tt0102587","Mon Oct 12 01:05:15 2015","Mon Oct 12 01:05:15 2015","","Omohide poro poro","Feature Film","Isao Takahata","","7.7","118","1991","animation, drama, romance","13311","1991-07-20","http://www.imdb.com/title/tt0102587/"
"85","tt1439629","Mon Oct 12 01:05:44 2015","Mon Oct 12 01:05:44 2015","","Community","TV Series","","","8.5","22","2009","comedy","145795","2009-09-17","http://www.imdb.com/title/tt1439629/"
"86","tt2278871","Mon Oct 12 01:08:36 2015","Mon Oct 12 01:08:36 2015","","La vie d'Adèle - Chapitres 1 et 2","Feature Film","Abdellatif Kechiche","","7.8","180","2013","drama, romance","93118","2013-05-23","http://www.imdb.com/title/tt2278871/"
"87","tt1937390","Mon Oct 12 01:08:57 2015","Mon Oct 12 01:08:57 2015","","Nymphomaniac: Vol. I","Feature Film","Lars von Trier","","7.0","117","2013","drama","82583","2013-12-25","http://www.imdb.com/title/tt1937390/"
"88","tt0044079","Mon Oct 12 01:10:31 2015","Mon Oct 12 01:10:31 2015","","Strangers on a Train","Feature Film","Alfred Hitchcock","","8.1","101","1951","crime, film_noir, romance, thriller","96811","1951-06-30","http://www.imdb.com/title/tt0044079/"
"89","tt0327056","Mon Oct 12 01:10:51 2015","Mon Oct 12 01:10:51 2015","","Mystic River","Feature Film","Clint Eastwood","","8.0","138","2003","crime, drama, mystery, thriller","339540","2003-05-23","http://www.imdb.com/title/tt0327056/"
"90","tt0386676","Mon Oct 12 01:15:28 2015","Mon Oct 12 01:15:28 2015","","The Office","TV Series","","","8.8","22","2005","comedy","202472","2005-03-24","http://www.imdb.com/title/tt0386676/"
"91","tt0053604","Mon Oct 12 01:20:45 2015","Mon Oct 12 01:20:45 2015","","The Apartment","Feature Film","Billy Wilder","","8.3","125","1960","comedy, drama, romance","109860","1960-06-15","http://www.imdb.com/title/tt0053604/"
"92","tt0242653","Mon Oct 12 01:24:07 2015","Mon Oct 12 01:24:07 2015","","The Matrix Revolutions","Feature Film","The Wachowski Brothers, The Wachowski Brothers","","6.7","129","2003","action, sci_fi","366074","2003-10-27","http://www.imdb.com/title/tt0242653/"
"93","tt1132620","Mon Oct 12 01:24:21 2015","Mon Oct 12 01:24:21 2015","","Män som hatar kvinnor","Feature Film","Niels Arden Oplev","","7.8","152","2009","crime, drama, mystery, thriller","175215","2009-02-27","http://www.imdb.com/title/tt1132620/"
"94","tt0216755","Mon Oct 12 01:24:34 2015","Mon Oct 12 01:24:34 2015","","Formula lyubvi","TV Movie","Mark Zakharov","","8.3","90","1984","comedy, romance","1399","1984-12-30","http://www.imdb.com/title/tt0216755/"
"95","tt3774694","Mon Oct 12 01:24:46 2015","Mon Oct 12 01:24:46 2015","","Love","Feature Film","Gaspar Noé","","6.0","135","2015","drama, romance","18508","2015-05-20","http://www.imdb.com/title/tt3774694/"
"96","tt0119177","Mon Oct 12 01:27:38 2015","Mon Oct 12 01:27:38 2015","","Gattaca","Feature Film","Andrew Niccol","","7.8","106","1997","drama, sci_fi, thriller","221347","1997-09-07","http://www.imdb.com/title/tt0119177/"
"97","tt1673702","Thu Nov  5 21:16:43 2015","Thu Nov  5 21:16:43 2015","","Une vie de chat","Feature Film","Jean-Loup Felicioli, Alain Gagnol","","7.0","70","2010","animation, crime, family","8468","2010-10-15","http://www.imdb.com/title/tt1673702/"
"98","tt0078673","Thu Nov  5 21:18:38 2015","Thu Nov  5 21:18:38 2015","","Priklyucheniya Elektronika","TV Series","Konstantin Bromberg","","7.7","215","1980","adventure, comedy, crime, family, musical, sci_fi","1018","1980-05-02","http://www.imdb.com/title/tt0078673/"
"99","tt0060161","Thu Nov  5 21:22:29 2015","Thu Nov  5 21:22:29 2015","","Beregis avtomobilya","Feature Film","Eldar Ryazanov","","8.3","94","1966","comedy, crime, romance","2903","1966-05","http://www.imdb.com/title/tt0060161/"
"100","tt0133108","Thu Nov  5 21:22:34 2015","Thu Nov  5 21:22:34 2015","","Muzhiki!","Feature Film","Iskra Babich","","7.7","94","1981","drama","318","1981-12","http://www.imdb.com/title/tt0133108/"
"101","tt3397884","Mon Dec 21 20:59:44 2015","Mon Dec 21 20:59:44 2015","","Sicario","Feature Film","Denis Villeneuve","","7.6","121","2015","action, crime, drama, mystery, thriller","200435","2015-05-19","http://www.imdb.com/title/tt3397884/"
"102","tt1258197","Mon Dec 21 23:26:35 2015","Mon Dec 21 23:26:35 2015","","Exam","Feature Film","Stuart Hazeldine","","6.9","101","2009","mystery, thriller","70775","2009-06","http://www.imdb.com/title/tt1258197/"
"103","tt0470752","Mon Dec 21 23:26:36 2015","Mon Dec 21 23:26:36 2015","","Ex Machina","Feature Film","Alex Garland","","7.7","108","2015","drama, mystery, sci_fi, thriller","293078","2015-01-21","http://www.imdb.com/title/tt0470752/"
"104","tt1175709","Mon Dec 21 23:27:06 2015","Mon Dec 21 23:27:06 2015","","All Good Things","Feature Film","Andrew Jarecki","","6.3","101","2010","crime, drama, mystery, romance, thriller","41469","2010-11-05","http://www.imdb.com/title/tt1175709/"
"105","tt3042408","Mon Dec 21 23:28:14 2015","Mon Dec 21 23:28:14 2015","","Who Am I - Kein System ist sicher","Feature Film","Baran bo Odar","","7.6","102","2014","crime, drama, thriller","22880","2014-09-06","http://www.imdb.com/title/tt3042408/"
"106","tt4072326","Tue Jan 26 06:05:18 2016","Tue Jan 26 06:05:18 2016","","Ali and Nino","Feature Film","Asif Kapadia","","8.1","100","2016","drama, romance","100","2016-01-27","http://www.imdb.com/title/tt4072326/"
"107","tt3553976","Tue Jan 26 06:05:22 2016","Tue Jan 26 06:05:22 2016","","Captain Fantastic","Feature Film","Matt Ross","","8.1","118","2016","comedy, drama, romance","4881","2016-01-23","http://www.imdb.com/title/tt3553976/"
"108","tt4193394","Tue Jan 26 06:05:40 2016","Tue Jan 26 06:05:40 2016","","Indignation","Feature Film","James Schamus","","7.7","110","2016","drama","1005","2016-01-24","http://www.imdb.com/title/tt4193394/"
"109","tt2818654","Tue Jan 26 06:06:03 2016","Tue Jan 26 06:06:03 2016","","Rak ti Khon Kaen","Feature Film","Apichatpong Weerasethakul","","7.1","122","2015","drama, fantasy","1793","2015-05-18","http://www.imdb.com/title/tt2818654/"
"110","tt4285496","Tue Jan 26 06:06:08 2016","Tue Jan 26 06:06:08 2016","","El abrazo de la serpiente","Feature Film","Ciro Guerra","","8.0","125","2015","adventure, biography, drama, history","8140","2015-05-15","http://www.imdb.com/title/tt4285496/"
"111","tt4666726","Tue Jan 26 06:06:48 2016","Tue Jan 26 06:06:48 2016","","Christine","Feature Film","Antonio Campos","","7.1","115","2016","biography, drama","137","2016-01-23","http://www.imdb.com/title/tt4666726/"
"112","tt1639084","Tue Jan 26 06:07:05 2016","Tue Jan 26 06:07:05 2016","","Tallulah","Feature Film","Sian Heder","","6.8","111","2016","comedy, drama, romance","5276","2016-01-23","http://www.imdb.com/title/tt1639084/"
"113","tt2879552","Tue Jan 26 06:07:21 2016","Tue Jan 26 06:07:21 2016","","11.22.63","Mini-Series","","","8.3","60","2016","drama, mystery, sci_fi, thriller","34225","2016-02-15","http://www.imdb.com/title/tt2879552/"
"114","tt2401878","Tue Jan 26 06:07:35 2016","Tue Jan 26 06:07:35 2016","","Anomalisa","Feature Film","Duke Johnson, Charlie Kaufman","","7.3","90","2015","animation, comedy, drama, romance","32694","2015-09-04","http://www.imdb.com/title/tt2401878/"
"115","tt5225338","Tue Jan 26 06:08:01 2016","Tue Jan 26 06:08:01 2016","","The Eyes of My Mother","Feature Film","Nicolas Pesce","","7.5","76","2016","drama, horror","134","2016-01-22","http://www.imdb.com/title/tt5225338/"
